Break In Period,Car Age Inception,Claim Freq,Claim loss_reported_period,Claim occ_cycle,Manufacturer,RTO City,Policy Type,Marital Status,OCCUPATION,CITY,Facility Name,Ageny Num,Surveyor,Type Of Payment,Geography,IDV Value,Claim Element,Claim Created Date,Claim Status
5,3,9,86,69,Wang-Calderon,Wendyfurt, Our own renewals,NOT KNOWN,"Scientist, water quality",Cohentown,Russell-Vasquez,59369579,Julie White,,Grahamstad,330000, NET OF SALVAGE,1/7/2019 9:43, Rejected
2,3,4,52,56,Fuentes PLC,East Deniseview, Our own renewals,NOT KNOWN,Audiological scientist,New Markside,"Jenkins, Simmons and Pitts",97977844,Vincent Lawrence,,West Laurafurt,650000, NET OF SALVAGE,3/9/2019 22:16,Accepted
9,1,1,33,89,"Hoover, Romero and Collins",Lake Heidi, New vehicle without NCB,NOT KNOWN,"Psychologist, forensic",West Carlystad,"Miller, Roman and Evans",50422666,Patrick Scott,CASHLESS,Hallhaven,1475600, OWNER DRIVER:BODY INJURY,11/17/2018 5:28, Rejected
8,0,5,33,7,Walsh-Hanson,Jenniferburgh, New vehicle without NCB,NOT KNOWN,Occupational therapist,Robertport,Mills-Phillips,62008166,Joshua Moses,CASHLESS,Gomezfurt,557840, NET OF SALVAGE,10/31/2018 14:26,Accepted
0,6,3,57,80,Edwards Group,Kennedyborough,MTHF Renewal,NOT KNOWN,Telecommunications researcher,Bradleystad,Hoffman Group,4065481,Joseph Kim,CASHLESS,West Kimberlyfort,299951,PARTIAL LOSS,1/30/2019 11:51, Rejected
9,7,5,14,52,"James, Jones and Brown",Clarkberg, New vehicle without NCB,NOT KNOWN,Structural engineer,North Georgetown,"Jones, White and Boone",73328016,Richard Bailey,CASHLESS,Lake Jason,769500, OWNER DRIVER:DEATH,9/30/2018 9:06,Accepted
3,6,8,69,53,Diaz-Martinez,South Adrian, NCB Transfer,NOT KNOWN,Financial controller,New Jakefurt,Morgan-Elliott,31419576,Edward Reilly,CASHLESS,Brookshaven,619499,PARTIAL LOSS,12/25/2018 3:49, Rejected
9,5,3,58,85,"Webb, Turner and Bailey",West Williamview, Our own renewals,NOT KNOWN,"Solicitor, Scotland",North Theresamouth,Hill-Riley,50969213,Edward Acevedo,CASHLESS,Myersmouth,322753, NET OF SALVAGE,12/31/2018 1:05,Accepted
0,0,6,16,64,Perez Group,Christopherberg, Our own renewals,NOT KNOWN,Counselling psychologist,South Taylor,"Mata, Hughes and Rangel",93201691,Ashley Allen,CASHLESS,West Karaland,811775, NET OF SALVAGE,11/8/2018 2:51,Accepted
2,0,8,5,26,"White, Barton and Knight",East Dawn,MTHF Renewal,NOT KNOWN,Fitness centre manager,Port Christina,Murphy Ltd,49269305,Carmen Baird,CASHLESS,Youngview,1800725, NET OF SALVAGE,2/11/2019 23:33, Rejected
8,0,3,23,44,Jackson Inc,Lake Johntown,MTHF Renewal,NOT KNOWN,Garment/textile technologist,West Brianburgh,Marshall-Martinez,86955259,Chelsea Fischer,,Meghanmouth,1800725, NET OF SALVAGE,10/20/2018 8:02, Rejected
8,2,7,8,81,"Terrell, Hooper and Day",Simmonsmouth,MTHF Renewal,NOT KNOWN,Rural practice surveyor,East Kaylamouth,Edwards Ltd,79786621,Lindsey Brown,,Loweberg,1060730, OWNER DRIVER:DEATH,2/16/2019 12:39, Rejected
1,5,1,88,32,"Scott, Taylor and Clark",Stevensland, Our own renewals,NOT KNOWN,Training and development officer,Lake Paigebury,Collins-Hoffman,71192027,Mrs. Taylor Ray,REIMBURSEMENT,Stephaniemouth,347000,PARTIAL LOSS,3/6/2019 23:01,Accepted
5,5,3,15,82,"Smith, Parker and Moore",East Aaronmouth, Our own renewals,NOT KNOWN,Field trials officer,New Andrea,Barry Inc,54852233,Jose Jenkins,,Hansenburgh,347000, OWNER DRIVER:DEATH,2/21/2019 5:42,Accepted
1,3,6,36,72,Norton-Miles,Brittneymouth, Our own renewals,NOT KNOWN,Oceanographer,Foxton,"Dillon, Mccoy and Hunter",17547342,Darlene Brown,CASHLESS,West Sharon,400775, OWNER DRIVER:DEATH,10/13/2018 17:19, Rejected
4,6,0,78,34,Morgan and Sons,Debraland, NCB Transfer,NOT KNOWN,Cytogeneticist,New Christopher,"Reyes, Quinn and Mendez",97844646,Kari Smith,CASHLESS,North Michellemouth,300000,PARTIAL LOSS,3/28/2019 11:36, Rejected
8,6,3,95,58,"Moore, Morgan and Miller",Mistyview, NCB Transfer,NOT KNOWN,"Engineer, drilling",Ryanmouth,Lester-Walker,18691479,Luis Bright,REIMBURSEMENT,East Robert,241000, NET OF SALVAGE,3/4/2019 8:42,Accepted
0,6,1,3,2,Webb PLC,Romerofurt, Our own renewals,NOT KNOWN,Race relations officer,Port Emily,"Melendez, Nicholson and Carroll",63896299,Angela Carson,,Williamsfort,241000, OWNER DRIVER:DEATH,2/23/2019 12:56,Accepted
0,6,9,35,24,Stewart-Lindsey,Lake Michael, NCB Transfer,NOT KNOWN,Production manager,Josephtown,Shaw LLC,95923543,Thomas Weiss,,Moonland,251100, OWNER DRIVER:BODY INJURY,11/17/2018 9:24, Rejected
2,6,8,15,94,Blake Inc,Kleinhaven,MTHF Renewal,NOT KNOWN,"Editor, film/video",Port Jerryborough,Bautista-Dennis,15884462,Stacey Alexander,,Lake Stanley,360000, OWNER DRIVER:DEATH,11/10/2018 12:05, Rejected
2,2,1,98,13,Hill Inc,East Michelle, Our own renewals,NOT KNOWN,Consulting civil engineer,Castillobury,"Rodriguez, Rodriguez and Barnes",51477239,Mitchell Joseph,,East Melissa,552000, OWNER DRIVER:DEATH,2/27/2019 7:11, Rejected
1,2,7,65,23,"Abbott, Murphy and Drake",North Andrewfurt, New vehicle without NCB,NOT KNOWN,Secondary school teacher,Jenkinsmouth,"Lang, Sanders and Patterson",24737186,Michael Ray,CASHLESS,Ambermouth,551321, OWNER DRIVER:DEATH,1/20/2019 16:46,Accepted
7,10,8,25,67,Harris-Weaver,East Angelicafurt, NCB Transfer,NOT KNOWN,"Psychologist, occupational",Thomasstad,Cantu Inc,81422268,Randy Fletcher,,South Patrick,225100, NET OF SALVAGE,11/12/2018 16:28, Rejected
1,8,8,46,2,Evans-Acosta,Sarashire, Our own renewals,NOT KNOWN,Automotive engineer,North Nancyburgh,Harris Inc,90644805,Joshua Bauer,REIMBURSEMENT,Forbesside,220000, OWNER DRIVER:DEATH,11/20/2018 15:52, Rejected
9,8,3,46,61,Jacobson-Palmer,Randymouth, Our own renewals,NOT KNOWN,"Surveyor, insurance",New Jerryview,"Castillo, Ferguson and Aguilar",33042491,Kaitlyn Benson,,West Douglashaven,220000, NET OF SALVAGE,2/7/2019 2:59, Rejected
6,10,3,91,59,"Wilcox, Maldonado and Sullivan",North Bailey, NCB Transfer,NOT KNOWN,Trade union research officer,West Davidton,Richardson Inc,15049024,Gregory Prince,,Stephenfurt,109400, OWNER DRIVER:BODY INJURY,10/19/2018 16:43,Accepted
0,5,1,90,63,Erickson Group,North Sharon, Our own renewals,NOT KNOWN,Personnel officer,Houstonland,"Clark, Sweeney and Calhoun",44599941,Christian Mendoza,,South Derek,240000,PARTIAL LOSS,10/2/2018 12:15,Accepted
7,2,7,7,40,"Morgan, Cochran and Stein",Trujilloshire, NCB Transfer,NOT KNOWN,Quantity surveyor,Michelemouth,Sanders Inc,55755625,Amanda Todd,,Carrollhaven,940000,PARTIAL LOSS,3/22/2019 6:54,Accepted
7,4,4,64,17,"Henderson, Delacruz and Blevins",Port Dustin,MTHF Renewal,NOT KNOWN,"Scientist, water quality",West Benjaminton,Barrett and Sons,78110921,Tammy Hansen,CASHLESS,Porterchester,370000, NET OF SALVAGE,3/1/2019 19:18, Rejected
3,0,6,21,11,Martinez-Hurley,Carolynburgh, Our own renewals,NOT KNOWN,Proofreader,Turnerberg,"Santos, Hernandez and Evans",91805289,Andrew Kirby,CASHLESS,Colemanview,652650, OWNER DRIVER:BODY INJURY,2/6/2019 2:18, Rejected
6,7,8,70,49,Rodriguez PLC,South Theresaport, New vehicle without NCB,NOT KNOWN,"Scientist, research (medical)",Jordanville,"Mitchell, Johns and Gonzalez",39840728,Mike Johnson,CASHLESS,Lake Bridgetton,1504000,PARTIAL LOSS,1/17/2019 8:24,Accepted
0,2,1,79,43,"Bernard, Chan and Booker",New Jenniferstad, Our own renewals,NOT KNOWN,Chartered management accountant,Wardview,"Reed, Snyder and Macdonald",21806466,Christopher Harris,,Johnsonview,490700, OWNER DRIVER:DEATH,11/14/2018 10:12,Accepted
9,2,8,36,77,Murphy Ltd,Port Vicki, Our own renewals,NOT KNOWN,Sports coach,New Christopher,"Perry, Stokes and Salas",23974989,James Ortiz,,New Dominiquehaven,480900, OWNER DRIVER:DEATH,1/15/2019 17:26,Accepted
7,8,1,55,73,Nunez-Moore,Ruizfort, New vehicle without NCB,NOT KNOWN,"Clinical scientist, histocompatibility and immunogenetics",Lake Sandrashire,"Kidd, Nielsen and Phillips",2550769,Brandy Silva,CASHLESS,New Jenniferville,92750,PARTIAL LOSS,12/10/2018 22:20,Accepted
1,0,1,58,37,Sampson-Walker,Edgarport,MTHF Renewal,NOT KNOWN,Land/geomatics surveyor,Ryanhaven,Stevenson Inc,61641956,Jennifer Schmidt,,Matthewsfurt,374755,PARTIAL LOSS,2/15/2019 17:50, Rejected
1,3,7,31,39,"Cox, Rosales and Richard",West Tami, NCB Transfer,NOT KNOWN,Newspaper journalist,Murphymouth,Allen-Hill,63376026,Kenneth Estrada,,Roseton,483500,PARTIAL LOSS,1/10/2019 3:03,Accepted
2,6,9,0,87,Taylor PLC,South Ronald, NCB Transfer,NOT KNOWN,"Teacher, special educational needs",New Carolynborough,"Lynn, Silva and Owen",14676484,Jeffrey Martinez,REIMBURSEMENT,Weaverville,500000, NET OF SALVAGE,12/8/2018 20:16,Accepted
7,12,4,96,58,Love-Howell,Port Adrienne, Our own renewals,NOT KNOWN,English as a foreign language teacher,Kingstad,Baker and Sons,40672534,Terri Garcia,,North Teresa,160000, NET OF SALVAGE,10/1/2018 7:03, Rejected
8,7,7,6,39,Evans-Winters,Lorettaton,MTHF Renewal,NOT KNOWN,Editorial assistant,New Chelseaburgh,Logan-Cobb,34481376,Cassandra Holder,CASHLESS,Travisburgh,185000,PARTIAL LOSS,3/27/2019 6:14, Rejected
2,7,4,17,49,Black-West,Port Christine, Our own renewals,NOT KNOWN,Copy,Lewismouth,"Gallegos, West and Knight",64873013,Daniel Pineda,,Franklinbury,185000, OWNER DRIVER:DEATH,1/1/2019 8:52, Rejected
8,6,5,95,86,"Singleton, Harris and Jones",New Randy, NCB Transfer,NOT KNOWN,English as a foreign language teacher,Rebeccaland,Smith and Sons,45421354,Kevin Keller,CASHLESS,Port Douglasside,262820, OWNER DRIVER:DEATH,2/9/2019 12:13, Rejected
1,7,6,28,47,Hayes Group,Jeffreyburgh, NCB Transfer,NOT KNOWN,Scientific laboratory technician,Port Johnville,Ortiz PLC,45572121,Kristine Savage,CASHLESS,New Ashley,254700, NET OF SALVAGE,3/19/2019 2:55,Accepted
3,0,2,45,80,Cox LLC,Lake Lisatown, Our own renewals,NOT KNOWN,"Engineer, technical sales",Tylermouth,Nelson-Patel,79483898,Dr. Tammy Glover,CASHLESS,West Charlesville,516767, NET OF SALVAGE,11/10/2018 23:45,Accepted
4,0,4,50,18,Hicks-Marquez,Jasonhaven, Our own renewals,NOT KNOWN,Armed forces logistics/support/administrative officer,South Spencer,"Brown, Hernandez and Sosa",10299952,Bradley Cook,REIMBURSEMENT,Andrewshire,941448,PARTIAL LOSS,1/29/2019 2:17,Accepted
8,5,6,10,13,Walker and Sons,Port Sherylfurt, New vehicle without NCB,NOT KNOWN,Planning and development surveyor,Hartborough,King-Haley,52653013,Megan Simon,,Kevinberg,291800,PARTIAL LOSS,2/2/2019 15:07,Accepted
4,1,1,85,76,Obrien-Smith,Johnstonbury, New vehicle without NCB,NOT KNOWN,Historic buildings inspector/conservation officer,Jennyberg,Lee Ltd,74114125,Carol Brewer,REIMBURSEMENT,North George,934748, OWNER DRIVER:DEATH,2/8/2019 3:07, Rejected
5,1,2,7,86,"Cisneros, Jones and Williamson",Hendersonshire,MTHF Renewal,NOT KNOWN,Intelligence analyst,New Kyle,Richardson Inc,91758946,Todd Cunningham,CASHLESS,Mooreville,945531, OWNER DRIVER:DEATH,1/4/2019 3:05, Rejected
4,0,0,38,99,Richardson Inc,Maxwelltown, New vehicle without NCB,NOT KNOWN,Fish farm manager,South Nicholasburgh,Hatfield LLC,31129359,James Thomas,CASHLESS,Bethshire,519125, NET OF SALVAGE,10/2/2018 5:01, Rejected
3,0,9,17,63,"Castillo, Santos and Russell",Joshuaville, Our own renewals,NOT KNOWN,Cytogeneticist,Hansonhaven,Hooper LLC,37075301,Carolyn Gibson,CASHLESS,Lake Regina,688275, NET OF SALVAGE,11/4/2018 6:11,Accepted
0,10,5,60,12,Mora-Mccall,Jeremyshire, New vehicle without NCB,NOT KNOWN,Product designer,South Andreshire,"Peck, Matthews and Becker",19990855,Tara Obrien,,Joannshire,128000, OWNER DRIVER:BODY INJURY,12/26/2018 16:27, Rejected
7,2,4,76,26,Weaver-Huang,Ramirezside, Our own renewals,NOT KNOWN,Computer games developer,Lake Nicole,Benson-Graham,90239531,Doris Shields,CASHLESS,Lake Shelbyton,672210, OWNER DRIVER:DEATH,10/22/2018 20:56,Accepted
1,1,3,40,14,Berger LLC,New Ethan,MTHF Renewal,NOT KNOWN,"Scientist, audiological",Taylorhaven,Baker-Hamilton,18547658,Mrs. Ashley Mendez,CASHLESS,South Scottton,294614, OWNER DRIVER:BODY INJURY,12/7/2018 4:49, Rejected
8,2,4,96,34,Mcdonald-Santiago,West Brittanyview, Our own renewals,NOT KNOWN,Herbalist,New Williamberg,"Brown, Cohen and Solis",71193664,Angela Kane,CASHLESS,Priceville,591185, OWNER DRIVER:BODY INJURY,3/1/2019 15:23, Rejected
3,7,3,72,74,Pham Ltd,Michaelview,MTHF Renewal,NOT KNOWN,Drilling engineer,Rossville,"Carter, Rogers and Alexander",10814975,Jesus Johnson,CASHLESS,Freemanshire,190740, OWNER DRIVER:DEATH,11/29/2018 20:12, Rejected
8,2,8,66,73,"Walker, Griffin and Hall",Alexandershire, NCB Transfer,NOT KNOWN,Haematologist,East Dawnchester,Roth Group,4118009,Matthew Rivers,CASHLESS,Port Brianhaven,679354, OWNER DRIVER:DEATH,12/30/2018 12:22,Accepted
4,5,5,43,33,"Smith, Ponce and Thompson",North Pam, Our own renewals,NOT KNOWN,Acupuncturist,Jenningsmouth,Petty PLC,71115893,Donald Watson,CASHLESS,West Danielle,274078, OWNER DRIVER:BODY INJURY,12/24/2018 15:45,Accepted
3,6,4,65,59,Sullivan Ltd,South Gregoryfurt,MTHF Renewal,NOT KNOWN,"Conservator, furniture",Port Cynthiafurt,"Shah, Rivas and Hudson",51606982,Jorge Cole,,Sanchezland,540000, NET OF SALVAGE,11/12/2018 11:57, Rejected
8,0,7,41,55,Morrison Group,West Joseph,MTHF Renewal,NOT KNOWN,Government social research officer,Bellfort,"Wallace, Mason and Holmes",37952140,Susan Murphy,CASHLESS,Mcgeefurt,627475, NET OF SALVAGE,2/23/2019 6:15, Rejected
1,0,8,78,88,"Conner, Hernandez and Hanson",West Meagan, Our own renewals,NOT KNOWN,"Programmer, applications",East Amandaland,"Blackwell, Chandler and Vang",47311444,Stacey Diaz MD,CASHLESS,Parkertown,677858, NET OF SALVAGE,11/1/2018 3:39, Rejected
7,3,5,91,10,Melendez-Johnson,North Debra, NCB Transfer,NOT KNOWN,"Lecturer, further education",Turnerville,"Clark, Carney and Miller",47034440,Daniel Smith,,Port Gerald,642355,PARTIAL LOSS,10/22/2018 21:19,Accepted
0,4,8,38,55,"Herman, Deleon and Alexander",East Michael, New vehicle without NCB,NOT KNOWN,Scientific laboratory technician,South Brian,Moore PLC,37403592,Tracy Freeman,CASHLESS,North Ruben,479950, OWNER DRIVER:DEATH,12/30/2018 8:20,Accepted
7,2,2,86,49,Butler-Cline,Jonathonmouth, New vehicle without NCB,NOT KNOWN,Building services engineer,Gainesview,West-Willis,42734759,Ryan Hines,REIMBURSEMENT,Gibsonfurt,790000,PARTIAL LOSS,10/31/2018 2:47,Accepted
9,5,2,2,49,"Garcia, Bonilla and Adams",Ellisonfort, New vehicle without NCB,NOT KNOWN,Pension scheme manager,West Ryan,"Baker, Crawford and Lee",94172474,Sophia Lee,,South Desireefort,500000, NET OF SALVAGE,1/16/2019 5:42,Accepted
1,7,5,37,47,Melendez Ltd,Lisafurt, New vehicle without NCB,NOT KNOWN,"Psychologist, forensic",South Adam,Rivera-Hernandez,32375186,Bailey Hernandez,,Port Victoriabury,315900,PARTIAL LOSS,2/24/2019 0:09, Rejected
4,5,6,29,71,"Hall, Allen and Bishop",New Emily, New vehicle without NCB,NOT KNOWN,Contractor,Rebeccahaven,"Turner, Johnson and Fox",31343248,Brady Hayes,REIMBURSEMENT,Andersonville,490000, OWNER DRIVER:BODY INJURY,10/11/2018 22:43, Rejected
8,5,7,29,58,Murray PLC,Riggsburgh, NCB Transfer,NOT KNOWN,International aid/development worker,Port Philip,Williams LLC,30189409,Stephanie Williams,,Natalietown,490000, OWNER DRIVER:BODY INJURY,11/18/2018 19:12, Rejected
4,0,8,96,34,Rodriguez-Collins,New Kellytown, New vehicle without NCB,NOT KNOWN,Mining engineer,North Victoria,Townsend and Sons,78823517,Amanda Barry,CASHLESS,South Marissaburgh,2951651, NET OF SALVAGE,10/24/2018 4:23, Rejected
4,1,1,48,88,"Shelton, Gill and Bishop",North Ashleyside, NCB Transfer,NOT KNOWN,Midwife,Amandahaven,Johnson-Ross,92203194,Michael Bowen,,Troyfort,569833, OWNER DRIVER:BODY INJURY,10/15/2018 17:57, Rejected
9,7,7,75,67,Best-Clements,Chaneyhaven, New vehicle without NCB,NOT KNOWN,"Sales professional, IT",New Marissa,Brown Inc,3909913,Danielle Hall,CASHLESS,Lake Susanchester,650486,PARTIAL LOSS,2/16/2019 15:21,Accepted
1,2,7,8,42,Hubbard and Sons,West Whitneyberg,MTHF Renewal,NOT KNOWN,Agricultural consultant,Tarabury,Dawson-Williams,71502813,Raymond Thompson,CASHLESS,Cassandrafort,1056737, OWNER DRIVER:BODY INJURY,12/29/2018 13:36, Rejected
8,5,2,88,76,Welch PLC,West Laurie, NCB Transfer,NOT KNOWN,Brewing technologist,Maysmouth,Dixon-Gonzalez,63726322,Adam Villa,CASHLESS,Hernandezbury,220000,PARTIAL LOSS,12/8/2018 20:39, Rejected
4,1,9,92,35,Perry-Estrada,West Stevenborough,MTHF Renewal,NOT KNOWN,"Surveyor, building",South Patrick,Reeves-Taylor,77221107,Eric Byrd,,North Caitlin,1479600, OWNER DRIVER:DEATH,2/2/2019 22:05,Accepted
3,1,2,32,3,Robinson Inc,Laurachester, NCB Transfer,NOT KNOWN,Charity fundraiser,Jacobview,Ayers Ltd,38789530,Julie Rivers,CASHLESS,Teresaburgh,580561, OWNER DRIVER:BODY INJURY,2/8/2019 11:20, Rejected
7,3,2,63,51,Johnson-Whitney,Lake Hannah, Our own renewals,NOT KNOWN,Health physicist,South Jamesfurt,"Reyes, Wilkinson and Davis",59759231,Andrew Thompson,CASHLESS,Cardenasshire,390191, NET OF SALVAGE,1/27/2019 18:04,Accepted
6,3,1,82,88,"Martinez, Howard and Wade",North William, Our own renewals,NOT KNOWN,Medical secretary,North Cameron,Hoffman Ltd,24322295,Mary Thompson,,Port Thomasstad,390191, OWNER DRIVER:DEATH,3/27/2019 15:20,Accepted
5,8,3,73,35,Smith-Conway,West Phillip, Our own renewals,NOT KNOWN,Chief Marketing Officer,North Gina,"Smith, Simpson and Leach",83497743,Kristin Smith,CASHLESS,North Alexandria,233333,PARTIAL LOSS,10/23/2018 1:28,Accepted
5,1,4,40,89,Rogers-Singleton,Port Carlaland, NCB Transfer,NOT KNOWN,Legal secretary,West Philip,"Davidson, Rodriguez and Herrera",43885827,William Hernandez,CASHLESS,Flemingfort,770797, NET OF SALVAGE,11/4/2018 15:34, Rejected
0,3,1,29,14,Jenkins-White,Lake Shawn,MTHF Renewal,NOT KNOWN,Holiday representative,East Kyle,Evans-Booker,30061404,Kelly James,CASHLESS,South Chad,1054800, OWNER DRIVER:DEATH,3/7/2019 13:30,Accepted
0,4,9,63,71,"Miller, Allen and Harris",East Autumnland, NCB Transfer,NOT KNOWN,Occupational therapist,South Mark,"Fisher, Ferguson and English",41729847,Mary Stone,CASHLESS,Gomezchester,523233, OWNER DRIVER:BODY INJURY,2/22/2019 19:20, Rejected
2,15,8,20,94,Rivera-Smith,South Joshuaburgh, NCB Transfer,NOT KNOWN,Arts administrator,New Mistyview,Foley Ltd,38685877,Michael Bennett,,Wallside,75000, OWNER DRIVER:DEATH,3/7/2019 11:39,Accepted
0,2,2,26,57,"Collins, Davis and Rodriguez",North Wandaview,MTHF Renewal,NOT KNOWN,"Conservator, museum/gallery",Boothfurt,"Shelton, Robinson and Smith",92658362,James James,CASHLESS,Lake Abigail,237978, OWNER DRIVER:DEATH,10/7/2018 23:21,Accepted
2,2,6,35,11,Higgins Ltd,Payneville, NCB Transfer,NOT KNOWN,Fitness centre manager,Riosberg,George Inc,60552801,Tony Tucker,CASHLESS,Princestad,424203, OWNER DRIVER:DEATH,10/8/2018 12:35,Accepted
2,1,7,24,55,"Peterson, Wright and Marquez",North Jason, New vehicle without NCB,NOT KNOWN,Musician,New Jacob,"Miller, Cooley and Williamson",55020344,John Braun,,Marissaport,2522000,PARTIAL LOSS,10/25/2018 22:47,Accepted
6,11,5,42,7,Davis LLC,Elizabethton, NCB Transfer,NOT KNOWN,Art gallery manager,Blackside,"Lewis, Young and Flores",10362732,Lynn Compton,CASHLESS,Stevenbury,92250, OWNER DRIVER:BODY INJURY,10/23/2018 2:30,Accepted
8,2,1,68,46,"Marshall, Diaz and Sellers",Ingramville, Our own renewals,NOT KNOWN,Mining engineer,Vazquezfort,Huff PLC,84275199,Kara Powell,REIMBURSEMENT,Kingshire,515100, OWNER DRIVER:BODY INJURY,3/3/2019 7:36,Accepted
6,2,3,46,80,"Sanchez, Hurst and Martin",Morganchester, New vehicle without NCB,NOT KNOWN,Advice worker,Port Curtis,Franklin-Taylor,18245789,Diana Lin,,Smithstad,515100,PARTIAL LOSS,10/2/2018 22:58, Rejected
4,2,3,92,42,Anderson-Rose,Charlesbury, NCB Transfer,NOT KNOWN,"Scientist, marine",Keithmouth,Rasmussen Inc,45956617,Cody Rose,,Kristaport,515100, OWNER DRIVER:BODY INJURY,10/26/2018 9:45, Rejected
7,0,7,65,77,Murphy Group,New Shanefort, NCB Transfer,NOT KNOWN,Arboriculturist,East William,Anderson-Guerrero,79914578,Candice Cohen,CASHLESS,Lake Joseph,934207, NET OF SALVAGE,2/16/2019 1:55,Accepted
1,3,2,2,12,Johnson PLC,West Sheri, NCB Transfer,NOT KNOWN,Immunologist,North Harold,"Owen, Simmons and Davis",11240981,Carolyn Brown,,East Debbie,380000, OWNER DRIVER:DEATH,2/8/2019 16:06,Accepted
8,6,4,10,93,Peterson-Martin,North Andrewside, NCB Transfer,NOT KNOWN,"Geologist, engineering",Munozberg,Taylor Group,63765162,Linda Fleming,REIMBURSEMENT,New Raventown,600000, OWNER DRIVER:DEATH,3/7/2019 23:14, Rejected
0,6,5,25,14,Smith PLC,Michaelville,MTHF Renewal,NOT KNOWN,Arts development officer,Deniseville,"Hale, King and Tran",86340275,Michelle Mccarty,REIMBURSEMENT,Stephaniechester,600000, OWNER DRIVER:DEATH,10/10/2018 8:23, Rejected
7,6,3,85,88,Gray-Rich,East Larry, New vehicle without NCB,NOT KNOWN,Town planner,Jillmouth,Gillespie-Jackson,94728024,Jason Vega,,Nelsonview,600000, OWNER DRIVER:BODY INJURY,12/16/2018 5:20,Accepted
1,5,3,14,7,"Edwards, Woodward and Meyers",Wolfemouth, NCB Transfer,NOT KNOWN,Veterinary surgeon,Lake Luis,Stuart Group,59410254,Melissa Cunningham,,West Allison,389800, OWNER DRIVER:BODY INJURY,11/5/2018 4:38,Accepted
9,7,0,20,52,Reyes-Gonzalez,New Vanessa,MTHF Renewal,NOT KNOWN,Arts development officer,New Matthewchester,Chase Group,68608629,Shane Schwartz,,Wilsonburgh,314000, NET OF SALVAGE,2/22/2019 16:48, Rejected
5,1,6,67,82,Bowers PLC,Brendanville, Our own renewals,NOT KNOWN,Patent examiner,Russelltown,Davis and Sons,26701394,Johnny Flores,CASHLESS,Pattymouth,622204, NET OF SALVAGE,3/20/2019 13:18, Rejected
3,0,2,0,31,Perez-Walker,East Juan, New vehicle without NCB,NOT KNOWN,Publishing rights manager,Watkinsstad,Rodriguez-Morales,89390293,Karen Davis,CASHLESS,Carrieside,304046, OWNER DRIVER:DEATH,2/9/2019 3:28,Accepted
4,8,0,71,18,Maxwell LLC,West Pamelaburgh,MTHF Renewal,NOT KNOWN,Financial trader,New Josephton,Hensley LLC,85964854,Margaret Wong,CASHLESS,South Amanda,202500, NET OF SALVAGE,10/3/2018 11:58, Rejected
3,5,6,32,0,Acosta Inc,Lake Benjaminton,MTHF Renewal,NOT KNOWN,Archaeologist,South Annaside,Campbell-Singh,70669224,Jodi Oneill,CASHLESS,Moorehaven,1450000,PARTIAL LOSS,1/20/2019 7:05,Accepted
5,0,0,61,87,Larson-Harmon,Huffmantown, NCB Transfer,NOT KNOWN,"Investment banker, corporate",New Kelly,"Avila, Cox and Arnold",5288491,Mary Kennedy,CASHLESS,East Garyshire,560025, NET OF SALVAGE,11/1/2018 23:10,Accepted
2,0,0,31,75,Thompson-Perez,Port Morganton, New vehicle without NCB,NOT KNOWN,Special educational needs teacher,South Daniel,Lawrence Inc,48487235,Olivia Proctor,,Port Kimberlyhaven,560025,PARTIAL LOSS,1/3/2019 21:50, Rejected
5,10,0,30,77,Newman LLC,Brownburgh, NCB Transfer,NOT KNOWN,Records manager,New Laurie,Gallegos-James,25941187,Karen Ford,CASHLESS,Hernandezville,374640, OWNER DRIVER:DEATH,1/24/2019 11:46, Rejected
3,5,0,88,18,Hahn-Jones,Craigshire, New vehicle without NCB,NOT KNOWN,Data processing manager,Shelbybury,Lynn LLC,23194134,Allison Zimmerman,CASHLESS,New Michaelville,324000, NET OF SALVAGE,11/6/2018 2:44, Rejected
6,5,0,86,96,Luna LLC,Jermaineborough, NCB Transfer,NOT KNOWN,Ambulance person,Turnerbury,Wright Ltd,45549038,Helen Brown,REIMBURSEMENT,Port David,225000,PARTIAL LOSS,11/26/2018 17:29,Accepted
4,6,5,71,72,"Olsen, Rice and Woods",North Christina, New vehicle without NCB,NOT KNOWN,Minerals surveyor,Adamsville,Perkins-Hall,20630005,Brandi Torres,,West Toddland,331200,PARTIAL LOSS,12/24/2018 12:26,Accepted
2,5,0,90,71,Gutierrez LLC,East Emilychester, New vehicle without NCB,NOT KNOWN,"Teacher, secondary school",East Lindsey,Moran-Torres,2620837,Jesse Holloway,CASHLESS,Lake Carmenborough,308395, NET OF SALVAGE,11/13/2018 21:58, Rejected
0,7,9,14,77,Gomez-Hunter,New Courtney,MTHF Renewal,NOT KNOWN,"Journalist, broadcasting",Johnsview,"Powell, Moore and Wright",84171127,Kristen Stevens DDS,,Strongland,240000, OWNER DRIVER:BODY INJURY,10/8/2018 22:45,Accepted
2,5,1,87,29,Serrano-Bridges,Odonnelltown, NCB Transfer,NOT KNOWN,Special educational needs teacher,Johnsonberg,Myers Group,24565805,Samantha Harrison,,South Cody,259038, OWNER DRIVER:BODY INJURY,1/7/2019 3:17, Rejected
6,6,6,77,25,"Deleon, Hayes and Mercado",West Mary, Our own renewals,NOT KNOWN,"Programmer, systems",Port Michelle,Taylor-Pacheco,47629978,Tina Ramirez,,New Melissa,408430,PARTIAL LOSS,12/25/2018 17:45,Accepted
