pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,class
1,16,201,0,1,0,0,1,0,100,0,0,0,0,0,0,0,i
49,830,2800,5,1,0,25,0.5,0.0560000017,2.0999999046,0.0900000036,0.0560000017,0,0,0,0.1447339952,988.18945312,a
19,486,3500,185,1,0,112,0.055555556,0.2220000029,8.3199996948,0.2700000107,0,0.1669999957,0,0,0.0166389998,497.85522461,a
104,856,5000,69,1,0,0,0,0,0,0,0,0,0,0,1,0,s
168,1200,7500,0,1,0,9,0.5,0.8889999986,0.8299999833,0.0299999993,0,0,0,0,0.1830070019,100.95622253,a
2,209,1700,39,1,0,5,0.5,0.5,12.43999958,0.7200000286,0,0,0,0,0,922.51971436,i
10,255,1400,0,1,0,34,0.6000000238,0.1000000015,9.3299999237,0.349999994,0.1000000015,0,0,0,0.3355279863,1361.9263916,s
1100,959,1600,141,1,0,51,0.4444444478,0,0.6499999762,0.0399999991,0,0,0,0,0.1881140023,68.380111694,a
21,51,314,118,1,1,112,0,0,11.220000267,0,0,0,0,0,0.6463209987,43.945014954,s
6,61,269,16,1,0,19,0.6666666865,0,16.38999939,1.6399999857,0,0,0,0.1669999957,0.4157130122,1000.1177368,s
143,1300,837,84,1,0,435,0,0.5,1.0700000525,0.0399999991,0.2220000029,0.1669999957,0.0560000017,0,0.0924950019,619.4743042,a
215,799,2300,102,1,0,34,0.4444444478,0.1110000014,0.3799999952,0,0,0.0560000017,0,0,0.1881529987,16.127792358,a
46,358,234,0,1,0,184,0,0.0560000017,2.5499999523,0.0599999987,0.0560000017,0.2779999971,0,0,0.0525979996,709.26959229,a
21,673,1800,0,1,0,140,0.555555582,0.0560000017,6.4899997711,0.5199999809,0.1669999957,0,0.0560000017,0,0.3022499979,715.58459473,s
1,23,295,31,1,0,0,1,0,282.60998535,26.090000153,0,0,0,0,0,0,i
78,993,2200,155,1,0,36,0,0.1669999957,1.1399999857,0.0500000007,0.2220000029,0,0,0,0.0308100004,18.250787735,a
1800,9000,1700,160,1,1,699,0,0.1110000014,1.1100000143,0.0299999993,0,0.5,0,0,0.3891339898,16.389753342,s
0,204,624,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
21,502,7500,32,1,0,41,0.3888888955,0,8.7600002289,0.7200000286,0.0560000017,0,0,0,0.1548539996,818.88592529,a
9,382,2500,0,1,0,3,0.8888888955,0.1110000014,4.1900000572,0.4099999964,0,0,0,0,0.7777780294,248.13938904,i
6,85,309,41,1,0,17,0.5,0,9.6099996567,1.1799999475,0,0,0,0,0.400000006,111.79203796,s
0,44,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
111,190,810,0,1,0,638,0,0.1669999957,1.3200000525,0,0,0.2779999971,0.4440000057,0.0560000017,0.1845909953,159.48408508,s
206,1400,3700,151,1,1,949,0,0,2.3299999237,0,0,0.5559999943,0,0,0.5169669986,81.21081543,s
13,355,1600,0,1,0,0,1,0,4.4600000381,0.3700000048,0.1539999992,0,0,0,1,811.32806396,a
7,37,239,40,1,0,145,0.2857142985,0.2860000134,31.659999847,0.3899999857,0,0.2860000134,0,0,0.0693700016,115.12745667,a
65,420,963,83,1,0,322,0,0.5559999943,6.5700001717,0.4900000095,0,0.3330000043,0,0,0.40881899,247.96699524,s
878,628,3800,158,1,0,683,0,0.1669999957,3.7999999523,0.2399999946,0.9440000057,0.2220000029,0.5559999943,0.0560000017,0.1338990033,15.75976944,s
380,1500,3700,0,1,0,626,0,0.1110000014,0.6600000262,0.0599999987,0.1110000014,0.1110000014,0,0,0.1838549972,7.9128551483,s
859,1400,4700,0,1,0,461,0.6111111045,0,2.9600000381,1.1000000238,0,0.0560000017,0,0,0.4010890126,23.429290771,s
444,1400,4100,17,1,0,63,0.3333333433,0.7779999971,5.2199997902,0.1899999976,0.0560000017,1.5,0,0.3330000043,0.3188950121,378.67233276,s
0,199,901,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
69,463,2400,65,1,0,55,0.6666666865,0.1110000014,12.130000114,0.3799999952,0.0560000017,0.7779999971,0,0,0.4357509911,274.22348022,s
57,1300,3800,0,1,0,71,0.055555556,0.3889999986,3.9600000381,0.1599999964,0.0560000017,0.2220000029,0,0,0.017515,715.84338379,a
17,135,421,0,1,0,5,0.6470588446,0.4120000005,2.9200000763,0.0399999991,0,0,0,0,0.4044120014,1541.8242188,a
16,318,1700,86,1,0,174,0,0.1879999936,11.479999542,0.6299999952,0,1.8129999638,0,0,0.3947080076,19.425365448,s
17,171,1100,53,1,0,56,0.9411764741,0,15.649999619,0.9599999785,0,0,0,0,0.8823530078,384.18276978,s
2,2800,3300,47,1,0,153,0,0,3.6600000858,0.2099999934,0,0,0,0,0,552.99346924,i
26,1400,2700,10,1,0,547,0.2222222239,0.2220000029,2.4200000763,0.1400000006,0.5559999943,0.1110000014,0.8889999986,0.1110000014,0.0727469996,1214.9234619,s
24,593,943,0,1,0,15,0.6666666865,0.2220000029,3.7400000095,0.2899999917,0.2779999971,0.6110000014,0,0,0.4324769974,646.93200684,s
12,661,2600,45,1,0,16,0.4166666567,0,3.4800000191,0.2099999934,0,0,0,0,0.1549029946,1119.8414307,a
107,969,1100,0,1,0,385,0.2222222239,0.0560000017,1.8300000429,0.0799999982,0,0.2779999971,0.5559999943,0.1110000014,0.1218129992,275.44345093,s
4,118,598,0,1,0,225,0.75,0.5,26.690000534,5.3000001907,0,0.5,0,0,0.5,1113.1452637,s
156,387,663,0,1,0,77,0.5,0.2220000029,2.3099999428,0.1899999976,0,0.2220000029,0.1110000014,0.0560000017,0.2425889969,114.54575348,s
449,273,1100,38,1,0,754,0.055555556,0.0560000017,1.6299999952,0.200000003,0,0.1110000014,0,0,0.1688220054,93.607559204,a
2,119,87,22,1,0,30,0,0.5,6.3000001907,4.6199998856,0.5,0,0,0,0,9994.6582031,i
28,126,548,68,1,1,10,0.4444444478,0.3330000043,7.0999999046,0.2599999905,0.1110000014,0,0,0,0.1863870025,158.73245239,a
2,183,303,0,1,0,55,0,0,9.0200004578,0,0,0,0,0,0,60.035831451,i
204,155,678,80,1,0,787,0.055555556,0.0560000017,1.4299999475,0.2199999988,0,0.5,0.3889999986,0.0560000017,0.1978410035,59.174922943,s
21,176,446,0,1,0,19,0.1666666716,0.1110000014,10.479999542,0.1299999952,0,0,0,0,0.0204969998,119.59461212,a
150,147,1500,146,1,0,112,0,0,6.2699999809,0.1099999994,0,0,0,0,1,4.0436267853,s
197,923,6600,11,1,0,18,0,0,0.5099999905,0.0299999993,0,0,0,0,0.0142259998,158.08721924,a
4,1100,6400,142,1,1,0,1,0,6.7300000191,0.200000003,0.25,0,0,0,1,160.51728821,i
5000,1100,605,173,1,0,826,0,0.1669999957,0.6499999762,0.0199999996,0,0.5559999943,0.2779999971,0.1110000014,0.1151690036,7.5073151588,s
51,509,3800,0,1,0,0,1,0.0560000017,4.3899998665,0.2399999946,0.6669999957,0,0,0,1,69.653007507,a
0,16,137,31,1,0,0,0,0,0,0,0,0,0,0,1,0,i
145,128,787,150,1,1,33,0.6111111045,0.1669999957,2.0799999237,0.1700000018,0,0.3889999986,0,0,0.449988991,32.229473114,s
1,148,1400,0,1,0,0,1,0,67.569999695,4.7300000191,0,0,0,0,0,0,i
17,186,820,0,1,0,7,0.5882353187,0.0590000004,6.4200000763,0.349999994,0.175999999,0,0,0,0.3308820128,954.02709961,s
1,155,589,0,1,0,0,1,0,6.4499998093,0.6499999762,0,0,0,0,0,0,i
347,1100,4800,124,1,0,11,0.5,0,0.3700000048,0,0,0,0,0,0.257476002,114.81569672,s
70,1200,6500,122,1,0,48,0.055555556,0,2.1600000858,0.1099999994,0.1110000014,0.2779999971,0,0,0.0504060015,157.02488708,a
356,1800,7500,178,1,0,17,0,0.9440000057,0.7300000191,0.0099999998,1,0,0,0,1,4.3379778862,s
47,641,5700,137,1,0,24,0.3888888955,0.2220000029,8.8299999237,0.2899999917,0,0,0,0.1110000014,0.1615779996,292.09136963,a
66,370,1400,146,1,0,66,0.055555556,0.2779999971,6.8800001144,0.2899999917,0,0.0560000017,0,0,0.1032849997,216.02307129,a
158,10200,2600,70,1,0,69,0.1111111119,0,0.9800000191,0.0099999998,0,0.6669999957,0,0,0.2696749866,17.539459229,s
8,831,7500,0,0,0,5,0.625,0.625,3.9900000095,0.1099999994,0,0,0,0,0.3571430147,984.22106934,i
0,147,3600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
681,239,881,128,1,0,41,0.8333333135,0,9.0699996948,0.5600000024,0,0,0,0,0.7058820128,12.836820602,s
242,3300,6600,138,1,0,668,0,0.1110000014,0.4399999976,0.0099999998,0,0.3889999986,0.7779999971,0.1669999957,0.1655820012,5.4338269234,s
0,7,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
331,413,2500,148,1,1,140,0.1111111119,0.0560000017,1.7599999905,0.0700000003,0.2779999971,0.4440000057,0,0,0.1605399996,253.27368164,a
41,104,493,0,1,0,0,1,0.1110000014,4.2199997902,0.3199999928,0,0,0,0,1,654.65637207,a
115,511,729,14,1,0,254,0,0.5,0.9100000262,0.0799999982,0.2220000029,0.1110000014,0.0560000017,0,0.0890889987,84.309844971,a
1100,1500,7500,93,1,1,123,0.5,0.0560000017,0.1000000015,0,0.3330000043,0,0,0,0.2548600137,77.336616516,s
3,228,341,0,1,0,0,1,0.6669999957,10.670000076,0.7300000191,0.3330000043,0,0,0,1,768.28436279,i
29,438,2200,0,1,0,20,0.6666666865,0.3330000043,8.4300003052,0.3300000131,0,0,0,0,0.3604510128,695.24084473,s
5,94,508,0,1,1,102,0,0.200000003,14.890000343,2.1300001144,0.400000006,5.5999999046,0,0,0,2353.107666,i
212,695,2600,18,1,0,338,0.1666666716,0.1110000014,1.8700000048,0.0599999987,0,0.1669999957,0.3889999986,0.1110000014,0.0677839965,534.64685059,s
75,339,1300,0,1,0,40,0,0.1110000014,7.5900001526,0.8500000238,0,0.0560000017,0,0,0.027361,165.76747131,a
49,160,818,0,1,0,137,0.5,0.3889999986,1.9099999666,0.0299999993,0,0.1669999957,0.4440000057,0.0560000017,0.2494570017,476.28305054,s
105,630,3000,15,1,0,11,0.1666666716,0.2220000029,1.9299999475,0.1299999952,0,0,0,0,0.021675,241.90794373,a
50,206,716,4,1,0,5,0.777777791,0,3.9100000858,0.1099999994,0.0560000017,0,0,0,0.5947710276,183.56958008,a
44,341,729,0,1,0,33,0.3333333433,0.0560000017,5.7699999809,0.0799999982,0.0560000017,0.3889999986,0,0,0.0980390012,706.32806396,a
7,1100,7400,110,1,0,41,0,0,3.0899999142,0.2199999988,1,0.1430000067,0,0,0.3543869853,877.40405273,s
93,203,958,157,1,0,195,0,0,8.8699998856,0.2700000107,0,0.7220000029,0,0,0.4228500128,1.4407869577,s
126,293,1800,150,1,0,1102,0,0.0560000017,2.9600000381,0.1099999994,0,0,0,0,0.9071549773,4.3533492088,s
22,42,120,132,1,1,414,0,1,18.649999619,0.400000006,0,1.3329999447,0,0.1110000014,0.8479340076,2.3137960434,s
2600,4600,2400,148,1,1,583,0,0.3330000043,0.349999994,0.0099999998,0,0.1819999963,0,0.0299999993,0.1733140051,31.446447372,a
43,635,7400,0,1,0,64,0.1666666716,0.2220000029,3.8599998951,0.1299999952,0.1669999957,0.0560000017,0.0560000017,0.0560000017,0.0550529994,319.00653076,a
246,147,492,0,1,0,742,0,0.1669999957,2.6099998951,0.150000006,0,0.6669999957,0.5,0.0560000017,0.1593829989,91.989212036,s
0,29,324,13,1,0,0,0,0,0,0,0,0,0,0,1,0,i
12,209,2200,0,0,0,6,0.9166666865,0,12.640000343,0.400000006,0,0,0,0,0.8333330154,23.572383881,s
17,125,1200,23,1,0,227,0.2352941185,0.4120000005,7.3400001526,0.2800000012,0.2349999994,0.4120000005,0,0,0.0878359973,778.69415283,a
5,450,2700,0,1,0,319,0.200000003,0,4.7600002289,0.1800000072,0.200000003,2.5999999046,0,0,0.1050150022,297.40005493,i
1300,2000,4000,143,1,1,275,0,0.1669999957,1.6900000572,0.0500000007,1,0.1110000014,0,0,0.0388000011,4.4054632187,s
9,230,2200,37,1,0,2,0.8888888955,0.2220000029,24.63999939,1.7899999619,0,0,0,0,0.7777780294,58.72833252,i
146,295,883,45,1,0,451,0.1666666716,0.2220000029,2.5799999237,0.2399999946,0.0560000017,0.6110000014,1.0559999943,0,0.0628060028,128.12695312,s
9,570,3400,0,1,1,25,0.2222222239,0,3.6800000668,0.1400000006,0.2220000029,0.5559999943,0,0,0.0435100012,66.944725037,i
210,2600,3100,125,1,1,408,0,0.4440000057,0.4600000083,0.0199999996,0.6669999957,1.4440000057,0.0560000017,0,0.5640109777,97.676185608,s
48,116,790,0,1,0,10,0.6666666865,0.0560000017,5.1199998856,0.2899999917,0,0,0,0,0.4458220005,35.177455902,s
286,257,1600,68,1,0,274,0.277777791,0.1669999957,4.7600002289,0.3700000048,0,1.0559999943,0,0.0560000017,0.3095209897,388.09472656,s
363,797,1800,0,1,0,2,0.944444418,0.2779999971,9.9099998474,0.0099999998,0,0,0,0,0.8888890147,32.084041595,a
12500,34300,7400,165,1,1,1466,0,0.75,0.1400000006,0,0,0,0,0,0.5613290071,30.108402252,s
106,1700,7300,16,1,0,1,0.944444418,0,3.4300000668,0.1599999964,0,0,0,0,0.8888890147,454.00897217,a
26,123,589,182,1,1,113,0.3333333433,0.2779999971,10.659999847,0.4099999964,0,1.2779999971,0,0,0.2072950006,15.934351921,s
1100,1900,6400,20,1,1,38,0.0857142881,0.5139999986,0.6800000072,0.0399999991,0,0,0,0,0.017058,53.011539459,a
190,1000,7500,54,1,0,26,0.8888888955,0,1.2699999809,0.0500000007,0.2779999971,0,0,0,0.7908499837,66.274749756,s
0,248,4100,155,1,0,0,0,0,0,0,0,0,0,0,1,0,i
95,1100,3400,0,1,0,306,0.055555556,0.1110000014,1.0499999523,0.2199999988,0,0.7220000029,0.0560000017,0.0560000017,0.1640439928,386.04653931,a
15,101,385,44,1,0,174,0.400000006,0,10.100000381,0.5299999714,0,0.2669999897,1,0.1330000013,0.1665139943,143.68299866,s
36,81,355,85,1,1,496,0.5,0.5,5.6900000572,0.2700000107,0,0,0,0,0.4436439872,5.1123919487,s
555,541,1200,101,1,0,966,0,0.1110000014,1.3700000048,0.0299999993,0,1.3890000582,0,0,0.9877169728,21.029306412,s
124,2900,878,0,1,0,322,0,0.1669999957,100.38999939,0.0700000003,0.2220000029,0.2220000029,0,0,0.1005740017,254.03282166,a
56,302,1300,19,1,1,8,0.3888888955,0.3889999986,6.1999998093,0.3899999857,0,0,0,0,0.143791005,131.96409607,a
0,32,343,12,1,0,0,0,0,0,0,0,0,0,0,1,0,i
1900,1500,5700,168,1,1,807,0,0,0.3799999952,0,0,1.5,0,0.3330000043,1,18.335664749,s
0,8,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
95,486,1400,0,1,0,249,0.055555556,0.4440000057,1.6000000238,0.0299999993,0.2220000029,0.2220000029,0,0,0.0267309994,213.29248047,a
24,832,548,0,1,0,90,0.055555556,0.2779999971,1.5299999714,0.0599999987,0,0.6110000014,0,0,0.0074240002,392.67276001,a
10,199,890,25,1,0,1,0.8999999762,0.400000006,4.4200000763,0.1000000015,0,0,0,0,0.8000000119,1350.9720459,i
202,904,2800,179,1,0,0,0,0,0,0,0,0,0,0,1,0,s
2,698,3900,0,1,0,63,0,0,24.790000916,2.2200000286,0,2.5,0,0,0,3557.1384277,i
48,520,519,0,1,0,20,0.277777791,0.5,2.9000000954,0.2899999917,0.0560000017,0.5,0,0,0.0661830008,701.81793213,a
43,324,764,95,1,1,265,0.277777791,0.1110000014,2.6900000572,0.2700000107,0,0.4440000057,0,0,0.1164579988,322.38482666,a
40,41,313,141,1,0,608,0.277777791,0.1110000014,19.239999771,0.2700000107,0.1110000014,1.2779999971,0,0,0.4759449959,0.2956019938,s
5,80,147,0,1,0,12,0.6000000238,0,11.75,0.75,0,0,0,0,0.3000000119,15.200555801,s
102,313,581,65,1,0,64,0.555555582,0.3330000043,4.7199997902,0.2099999934,0.0560000017,0.5,0.6110000014,0.1110000014,0.2959580123,204.82688904,s
140,70,436,157,1,1,385,0.6111111045,0.1110000014,12.140000343,0.3199999928,0,1.5559999943,0,0,0.4928070009,38.672992706,s
87,810,5900,0,1,0,19,0.722222209,0,4.9499998093,0.2199999988,0.3330000043,0.0560000017,0,0,0.5101150274,1003.2648315,s
96,1600,3000,8,1,0,147,0.2222222239,0,3.1600000858,0.2300000042,0.1110000014,0.2779999971,0,0,0.0424380004,456.07470703,a
6,85,123,11,1,0,65,0.3333333433,0.3330000043,1.9600000381,0,0,0,0,0,0.1132389978,612.69012451,a
21,584,920,188,1,1,796,0,1,8,0.1700000018,0.9440000057,0,0,0,0.5722550154,486.95068359,s
132,936,4700,148,1,1,507,0.277777791,0.7220000029,3.4200000763,0.0700000003,0,1.6670000553,0,0,0.4084970057,232.13082886,s
11,70,457,132,1,0,681,0,0.1819999963,32.729999542,1.1699999571,0,2,0,0,0.1767279953,37.623382568,a
50,238,1400,0,1,0,16,0.777777791,0.0560000017,4.3699998856,0.400000006,0,0,0,0,0.5098040104,513.22668457,s
115,293,2500,0,1,0,23,0.3888888955,0.1110000014,5.4400000572,0.25,0,0,0,0,0.1473750025,39.397407532,a
31,362,2400,130,1,0,0,0,0,0,0,0,0,0,0,1,0,s
8,454,1700,0,1,0,43,0.375,0.375,6.8299999237,0.0799999982,0.5,0,0,0,0.1215550005,1710.1550293,i
286,4100,1800,135,1,1,181,0.0571428575,0.9139999747,0.6899999976,0.0099999998,0.6570000052,0.3709999919,0.057,0,0.4444240034,32.806247711,s
12,217,1400,0,1,0,4,0.75,0.25,3.7599999905,0.150000006,0.1669999957,0,0,0,0.5454549789,449.5675354,a
49,343,650,94,1,0,465,0,0.2220000029,2.9000000954,0.1899999976,0.0560000017,0,0.3330000043,0,0.1013410017,740.95996094,s
5,70,798,0,1,0,230,0.8000000119,0.200000003,10,2,0,2,0,0,0.6000000238,0.219332993,s
993,2500,6700,137,1,1,158,0,0,0.7599999905,0.0700000003,0,1.6670000553,0,0,0.2748729885,26.897052765,s
85,249,1100,0,1,0,835,0,0.0560000017,7.2100000381,2.9700000286,0,0.1669999957,0.8889999986,0.1110000014,0.2233520001,170.56080627,s
3,26,216,0,1,0,8,0.6666666865,0.6669999957,11.539999962,0,0,0,0,0,0.3333329856,90.674720764,s
257,2000,5700,63,1,0,39,0.1111111119,0.5559999943,1.6000000238,0.0799999982,0.1110000014,0,0,0,0.0127959996,208.79910278,a
153,212,559,48,1,0,0,1,0.0560000017,13.229999542,1.0199999809,0.2220000029,0,0,0,1,76.603904724,a
3,574,479,3,1,0,520,0,0.3330000043,26.770000458,3.4800000191,0,2.3329999447,0,0,0.215545997,344.5319519,s
24,308,1800,0,1,0,97,0,0.3889999986,21.61000061,0.8700000048,0.3889999986,2.4440000057,0,1.4440000057,0.2947590053,504.2585144,s
586,1200,5200,101,1,0,102,0,0.7220000029,3.6500000954,0.0500000007,0,1.1109999418,0.0560000017,0.2220000029,0.0822610036,21.760755539,s
1,111,272,0,1,0,0,1,0,10.81000042,0,0,0,0,0,0,0,i
216,333,1800,53,1,0,2,0.8888888955,0.0560000017,9.029999733,0.3199999928,0.2779999971,0,0,0,0.6862750053,47.329612732,a
14,244,1300,0,1,0,43,0,0.2140000015,8.6700000763,0.8799999952,0.2860000134,0,0,0.1430000067,0.001738,533.0770874,a
28,259,1400,17,1,0,0,1,0.2220000029,7.4600000381,0.2800000012,0.7779999971,0,0,0,1,37.516281128,a
193,383,2500,21,1,0,11,0.6111111045,0,14.840000153,0.2800000012,0.3889999986,0,0,0,0.3594770133,268.94915771,s
21,674,2700,0,1,0,17,0.3888888955,0.2779999971,3.2599999905,0.2399999946,0.0560000017,0.0560000017,0.2220000029,0,0.1764709949,848.1875,a
23,125,218,8,1,0,4,0.722222209,0.4440000057,5.4699997902,0.1299999952,0,0,0,0,0.5098040104,642.4041748,a
29,346,965,0,1,0,19,0.1666666716,0.2779999971,9.0900001526,0.2700000107,0.1110000014,0,0,0.0560000017,0.0559899993,535.89941406,a
3,49,66,0,1,0,0,1,0,21.770000458,0.6800000072,0,0,0,0,1,3.6005558968,i
370,937,6300,0,1,0,14,0.055555556,0,1.2899999619,0.0500000007,0.5,0,0,0,0.0119120004,160.19696045,a
108,239,900,0,1,0,5,0.777777791,0,4.7399997711,0.0700000003,0,0,0,0,0.5098040104,25.380556107,a
7,442,2900,12,1,0,21,0.1428571492,0,17.319999695,2,0.2860000134,0.1430000067,0,0,0,1875.1912842,a
590,1300,7100,0,1,1,0,1,0.2220000029,0.9100000262,0.0500000007,0,0,0,0,1,181.57980347,a
7,79,194,0,1,0,114,0.571428597,0.1430000067,9.220000267,0,0,0.1430000067,0,0,0.2857140005,1709.1923828,s
47,177,1400,32,0,1,12,0.3888888955,0.1669999957,4.6500000954,0.0900000036,0,0,0,0,0.1399230063,1.4416669607,s
52,1300,7500,138,1,1,665,0.055555556,0.3889999986,1.1299999952,0.0900000036,0,0.9440000057,0,0,0.0933879986,107.91272736,a
0,84,730,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
29,184,1900,0,1,0,70,0.2222222239,0.3330000043,9.8100004196,1.0299999714,0,0,0,0,0.0621219985,263.37643433,a
132,314,2400,0,1,0,26,0.6111111045,0.2220000029,5.5,0.1199999973,0.3330000043,0.0560000017,0,0,0.2943840027,448.61117554,s
82,1200,5100,137,1,1,956,0.055555556,0,10.93999958,0.3000000119,0,1.6670000553,0,0.0560000017,0.319453001,45.274658203,s
229,809,4700,33,1,0,0,0,0,0,0,0,0,0,0,1,0,s
50,142,281,84,1,1,252,0.055555556,0.6110000014,17.680000305,0.8199999928,0,3.2780001163,0,4.8330001831,0.1089939997,359.92745972,s
291,436,919,0,1,0,20,0.3333333433,0.3889999986,2.5699999332,0.0500000007,0.8889999986,0.3330000043,0,0,0.1241770014,95.642593384,a
223,1300,7500,0,1,0,14,0,0.2779999971,2.3499999046,0.0700000003,0.0560000017,0,0,0,0.3911530077,556.32019043,s
119,991,7500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,s
7,47,272,0,1,0,9,0.7142857313,0,12.770000458,1.2200000286,0.1430000067,0,0,0,0.5142859817,103.65079498,s
1,205,2200,0,1,0,0,1,0,96.589996338,3.9000000954,0,0,0,0,0,0,i
10,320,828,0,1,0,192,0.1000000015,0.400000006,6.4400000572,0.6600000262,0.200000003,0.6999999881,0,0,0.0295439996,2094.9177246,i
1,169,271,34,1,0,94,0,0,15.380000114,0,0,1,0,0,0,0,i
36,315,1300,159,1,0,54,0.055555556,0.0560000017,8.6400003433,0.0900000036,0.5,0.3330000043,0,0,0.0601169989,557.67541504,a
419,712,1700,87,1,0,299,0.1111111119,0.3330000043,1.4400000572,0.2700000107,0,0.7779999971,1.4440000057,0.1110000014,0.0889939964,171.21295166,s
318,151,1700,125,1,1,15,0.1666666716,0.3330000043,7.7300000191,0.9200000167,0,0,0.0560000017,0,0.0196080003,136.56900024,a
185,103,111,104,1,0,463,0,0,0.8100000024,0.1099999994,0,0,0,0,1,0.0045369999,s
68,382,877,144,1,1,434,0,0.4440000057,1.7699999809,0.3199999928,0,0.2779999971,0,0,0.142761007,125.01296234,a
72,591,3800,13,1,0,65,0.055555556,0.6110000014,3.6099998951,0.3100000024,0.1110000014,0.1669999957,0,0,0.0072090002,385.53527832,a
1,47,135,0,1,0,166,0,0,12.770000458,0,0,1,0,0,0,0,i
50,969,3300,96,1,0,122,0.3333333433,0.4440000057,7.3099999428,0.9399999976,0,1,0,0,0.1679400057,498.78268433,a
53,403,1300,11,1,0,7,0.3888888955,0,4.9800000191,0.0700000003,0,0,0,0,0.1372549981,216.99868774,a
25,798,3900,10,1,0,34,0.555555582,0,8.3199996948,0.3600000143,0.2220000029,0.3330000043,0,0,0.2995739877,540.72753906,s
240,1800,6500,133,1,0,279,0,0.5559999943,0.8700000048,0.0500000007,0.4440000057,0.2220000029,0,0,0.1580190063,169.2575531,a
18,1000,4600,116,1,1,31,0.055555556,0.1110000014,3.3499999046,0.3100000024,0.1669999957,1.0559999943,0,0,0.006639,639.54663086,a
999,2100,7500,147,1,1,375,0.2222222239,0.0560000017,0.2800000012,0,0.7779999971,0.5,0.1669999957,0,0.0628470033,5.3847689629,s
2200,735,1000,72,1,0,22,0,0.1669999957,0.2300000042,0,0,0.1110000014,0,0,0.5728539824,4.3275151253,s
292,1000,2500,16,1,0,177,0.1111111119,0.1669999957,0.6999999881,0.0199999996,0,0.3889999986,0,0,0.0716819987,94.3099823,a
65,1200,2600,17,1,1,662,0,0.0560000017,1.3999999762,0.3400000036,0,0.3889999986,0.7220000029,0.1110000014,0.150620997,30.897592545,s
5,203,1100,0,1,0,0,1,0.200000003,21.479999542,0.7900000215,0,0,0,0,1,0.0998890027,i
6,39,95,88,1,1,169,0,0,16.670000076,1.7100000381,0.1669999957,4.1669998169,0,0,0.0282269996,414.07192993,a
23,324,4100,130,1,1,7,0.4444444478,0.1669999957,13.479999542,0.3100000024,0.5559999943,0,0,0,0.1552180052,21.350849152,a
156,466,434,0,1,1,300,0.277777791,0.1669999957,4.8800001144,0.200000003,0.2220000029,0,0,0,0.0908219963,73.085029602,a
118,86,745,0,1,0,24,0,0.8330000043,13.630000114,1.1000000238,0,0.0560000017,0,0,0.8888890147,82.244812012,s
27,92,425,0,1,0,11,0.3888888955,0.2779999971,6.4600000381,0.6600000262,0,0,0,0,0.1428910047,401.59146118,a
2,155,1000,21,1,0,7,0.5,0,9.029999733,0.3199999928,0,0,0,0,0,47.316387177,i
94,598,1700,0,1,0,60,0.055555556,0.6669999957,3.9700000286,0.3799999952,0,0.8889999986,0.0560000017,0,0.0569319986,138.49191284,a
32,446,2300,153,1,1,158,0,0.1110000014,5.1300001144,0.349999994,0.7220000029,1.7220000029,0,0,0.2717660069,459.98370361,s
9,507,2200,0,1,0,111,0,0.6669999957,9.0500001907,0.3100000024,0.8889999986,2.4440000057,0.1110000014,0,0.0214019995,1021.4096069,i
27,664,1400,0,1,0,674,0.1666666716,0.1110000014,4.0300002098,0.3600000143,0,0.2220000029,0.1669999957,0,0.1657010019,433.86752319,a
35,318,2500,78,1,0,63,0.4444444478,0,3.7699999809,0.2099999934,0,0.0560000017,0,0.1110000014,0.2106170058,6.8259410858,s
2,62,514,28,1,0,7,0.5,0,33.869998932,2.4200000763,0,0,0,0.5,0,9.521944046,s
3,28,6,0,1,0,41,0,0,19.049999237,0,0,0,0,0,0,636.52288818,i
43,360,1400,34,1,0,542,0.055555556,0.0560000017,4,0.200000003,0,1.6109999418,0.2779999971,0.5559999943,0.091430001,116.44933319,s
32,34,73,0,1,0,741,0,0.0560000017,21.409999847,1.4700000286,0,0.1669999957,0.5,0.0560000017,0.1525339931,4.7619438171,s
104,469,3500,0,1,0,21,0.4444444478,0,12.119999886,0.4099999964,0.3330000043,0,0,0,0.196232006,889.69476318,a
28,649,3100,151,1,0,2,0.8888888955,0.0560000017,2.7599999905,0.0799999982,0,0,0,0,0.7843139768,43.986591339,a
20,341,606,0,1,0,0,1,0.0560000017,4.25,0.1299999952,0.1669999957,0,0,0,1,398.21533203,a
215,517,2000,41,1,1,26,0.277777791,0.0560000017,2.5999999046,0.0299999993,0.7779999971,0.0560000017,0,0,0.0728069991,113.80808258,a
30,303,857,0,1,0,44,0.055555556,1,5.3200001717,0.0399999991,0.0560000017,0.0560000017,0,0,0.0072989999,182.87600708,a
240,141,257,43,1,1,376,0,0,1.3400000334,0.0399999991,0,0.0560000017,0,0,0.251064986,5.4168829918,s
2600,7900,261,127,1,1,326,0,0,0.200000003,0.0099999998,0,0.1110000014,0.0560000017,0,0.1544149965,18.6397686,a
