snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Micrurus ephippifer,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Agkistrodon bilineatus,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Agkistrodon taylori,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Agkistrodon contortrix,Probably not present,Probably not present,Possibly present,Present but possibly not clinically significant,Probably not present,Probably not present,Not present,,Possibly present,Not
Agkistrodon piscivorus,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Probably not present,Probably not present,Not present,,Fibrinogenases,Not
Sistrurus catenatus,,,Present but not defined,,,,,,Present but not defined,Not
Sistrurus miliarius,,Not likely to be present,Present but not defined,,Not likely to be present,Not likely to be present,Not likely  to be present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,,Not
Micrurus circinalis ( = psyches circinalis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus medemi ( = psyches medemi ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus paraensis ( = psyches paraensis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus remotus ( = psyches remotus ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus diana,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus meridensis ( = dissoleucus meridensis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Lachesis melanocephala,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,Not
Lachesis stenophrys,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,Not
Porthidium dunni,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Porthidium hespere,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothrocophias hyoprora,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Porthidium lansbergii,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Porthidium nasutum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Porthidium ophryomegas,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Porthidium volcanicum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Porthidium yucatanicum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Atropoides nummifer,Probably not present,Probably not present,Possibly present but not clinically significant,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Atropoides olmec,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Atropoides picadoi,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Cerrophidion barbouri,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Cerrophidion godmani,Probably not present,Probably not present,Possibly present but not clinically significant,Present but possibly not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Cerrophidion tzotzilorum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Ophryacus undulatus,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Ophryacus melanurus,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis aurifer,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis bicolor,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis lateralis,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis marchi,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis nigroviridis,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothriechis rowleyi,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Bothrops oligolepis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops bilineata,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops medusa,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrops punctatus,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops taeniata,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrocophias andianus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops asper,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Present but not defined,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops barnetti,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops brazili,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops caribbaeus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops fonsecai,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops iglesiasi,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops insularis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops itapetiningae,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops lanceolatus,Not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Bothrops lojanus,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrops marajoensis,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrocophias microphthalmus,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrocophias colombianus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops pictus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops pirajai,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops pradoi,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops pulchra,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,"Unknown, possibly Fibrinogenases",Not
Bothrops roedingeri,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops sanctaecrucis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothrops venezuelensis,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrops xanthogrammus,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Bothrops jonathani,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Crotalus cerastes,,,,,,,,,,Not
Crotalus totonacus,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Other,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Not
Crotalus culminatus,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Secondary myotoxicity present,Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Other,Not
Crotalus tzabcan,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Not
Crotalus simus,Not present,Not present,Possibly present,Secondary myotoxic activity may be present,Not present,Not present,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Present but not defined,Not
Crotalus horridus,Not present,Not present,Zinc metalloproteinase,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,Not
Crotalus intermedius,,,,,,,,,,Not
Crotalus lannomi,,,,,,,,,,Not
Crotalus lepidus,,,,,,,,,,Not
Crotalus mitchellii,,,,,,,,,,Not
Crotalus stephensi,,,,,,,,,,Not
Crotalus molossus,,,,,,,,,,Not
Crotalus pricei,,,,,,,,,,Not
Crotalus polystictus,,,,,,,,,,Not
Crotalus ruber,,,,,,,,,,Not
Crotalus stejnegeri,,,,,,,,,,Not
Crotalus transversus,,,,,,,,,,Not
Crotalus triseriatus,,,,,,,,,,Not
Crotalus aquilus,,,,,,,,,,Not
Crotalus cerberus,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,Other,Mixture of procoagulants,Not
Crotalus willardi,,,Present but not defined,,,,,,,Not
Acanthophis pyrrhus,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Austrelaps ramsayi,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,Not
Austrelaps labialis,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,Not
Demansia olivacea,,,,,,,,,,Not
Demansia papuensis,,,,,,,,,,Not
Demansia psammophis,,,,,,,,,,Not
Demansia simplex,,,,,,,,,,Not
Demansia torquata,,,,,,,,,,Not
Demansia vestigiata,,,,,,,,,,Not
Denisonia devisi,Probably not present,,,,,,Present but not defined,,Probably not present,Not
Denisonia maculata,Probably not present,,,,,,Present but not defined,,Probably not present,Not
Elapognathus coronata,,,,,,,,,,Not
Drysdalia mastersii,,,,,,,,,,Not
Drysdalia rhodogaster,,,,,,,,,,Not
Drysdalia coronoides,,,,,,,,,,Not
Paroplocephalus atriceps,Possibly present,,,,,,Possibly present,,Probably not present,Not
Echiopsis curta,Possibly present,,,,,,Possibly present,,Probably not present,Not
Hemiaspis damelii,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Hemiaspis signata,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Oxyuranus scutellatus,Not present,Not present,Possibly present,Systemic myotoxins present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,Not
Pseudechis butleri,Direct coagulation inhibitor,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,Not
Pseudonaja affinis,Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,Not
Pseudonaja ingrami,Not present,,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,Not
Pseudonaja modesta,Not present,Not present,Not present,,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Possibly present but not clinically significant,Not
Suta suta,,,,,,,,,,Not
Micropechis ikaheka,Mixture of anticoagulant activities,Probably not present,Possibly present,Possibly present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Aipysurus apraefrontalis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Aipysurus fuscus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Aipysurus tenuis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis kingii,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis nigrocinctus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Emydocephalus ijimae,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Ephalophis greyae ( = greyi ),Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Parahydrophis mertoni,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrelaps darwiniensis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis belcheri,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis bituberculatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis caerulescens,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis cantoris,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis fasciatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis gracilis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis inornatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis lapemoides,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis mamillaris,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis melanosoma,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis obscurus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis parviceps,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis semperi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis stricticollis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis torquatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Kolpophis annandalei,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis viperina,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Thalassophis anomalus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Laticauda crockeri,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Laticauda laticaudata,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Laticauda schistorhynchus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis atriceps,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis czeblukovi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis macdowelli,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis pacificus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis vorisi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Ovophis zayuensis,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Homoroselaps dorsalis,,,,,,,,,,Not
Pseudohaje nigra,,,,,,,,,,Not
Toxicocalamus buergersi,,,,,,,,,,Not
Toxicocalamus holopelturus,,,,,,,,,,Not
Toxicocalamus longissimus,,,,,,,,,,Not
Toxicocalamus loriae,,,,,,,,,,Not
Toxicocalamus misimae,,,,,,,,,,Not
Toxicocalamus preussi,,,,,,,,,,Not
Toxicocalamus spilolepidotus,,,,,,,,,,Not
Toxicocalamus stanleyanus,,,,,,,,,,Not
Toxicocalamus grandis,,,,,,,,,,Not
Aspidomorphus lineaticollis,,,,,,,,,,Not
Aspidomorphus muelleri,,,,,,,,,,Not
Aspidomorphus schlegeli,,,,,,,,,,Not
Parapistocalamus hedigeri,,,,,,,,,,Not
Loveridgelaps elapoides,,,,,,,,,,Not
Cacophis harriettae,,,,,,,,,,Not
Cacophis krefftii,,,,,,,,,,Not
Cacophis squamulosus,,,,,,,,,,Not
Elapognathus minor,,,,,,,,,,Not
Furina barnardi,,,,,,,Possibly present,,Possibly present,Not
Furina diadema,,,,,,,Possibly present,,Possibly present,Not
Furina dunmalli,,,,,,,Possibly present,,Possibly present,Not
Furina ornata,,,,,,,Possibly present,,Possibly present,Not
Furina tristis,,,,,,,Possibly present,,Possibly present,Not
Rhinoplocephalus bicolor,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Cryptophis boschmai,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Cryptophis incredibilis,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Cryptophis nigrostriatus,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Cryptophis pallidiceps,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Simoselaps anomalus,,,,,,,,,,Not
Brachyurophis approximans,,,,,,,,,,Not
Brachyurophis australis,,,,,,,,,,Not
Simoselaps bertholdi,,,,,,,,,,Not
Neelaps bimaculatus,,,,,,,,,,Not
Neelaps calonotus,,,,,,,,,,Not
Brachyurophis fasciolatus,,,,,,,,,,Not
Brachyurophis incinctus,,,,,,,,,,Not
Simoselaps littoralis,,,,,,,,,,Not
Simoselaps minimus,,,,,,,,,,Not
Brachyurophis semifasciatus,,,,,,,,,,Not
Antairoserpens warro,,,,,,,,,,Not
Suta fasciata,,,,,,,,,,Not
Parasuta flagellum,,,,,,,,,,Not
Parasuta gouldii,,,,,,,,,,Not
Parasuta monachus,,,,,,,,,,Not
Parasuta nigriceps,,,,,,,,,,Not
Suta ordensis,,,,,,,,,,Not
Suta punctata,,,,,,,,,,Not
Parasuta spectabilis,,,,,,,,,,Not
Vermicella annulata,,,,,,,,,,Not
Vermicella multifasciata,,,,,,,,,,Not
Enhydrina zweifeli,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Hydrophis lamberti,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Vermicella snelli,,,,,,,,,,Not
Vermicella intermedia,,,,,,,,,,Not
Vermicella vermiformis,,,,,,,,,,Not
Demansia reticulata,,,,,,,,,,Not
Cacophis churchilli,,,,,,,,,,Not
Brachyurophis morrisi,,,,,,,,,,Not
Micrurus albicinctus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus catamayensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus nebularis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Salomonelaps par,,,,,,,,,,Not
Ogmodon vitianus,,,,,,,,,,Not
Atheris rungweensis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris acuminata,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris broadleyi,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Naja mandalayensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Acanthophis wellsei,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bitis armata,,,,,,,,,,Not
Hydrophis sibauensis,Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Micrurus pachecogili,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Bothrops alcatraz,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Atheris subocularis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris hirsuta,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Hydrophis laboutei,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Bothrops muriciensis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,Not
Bothriechis thalassinus,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Trimeresurus vogeli,Possibly present,Probably not present,Possibly present,Probably not present,,,Probably not present,,Possibly present,Not
Triceratolepidophis sieversorum,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,,Probably not present,Not
Thelotornis mossambicanus,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Present but not defined,Not
