,snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
350,Bothrops taeniata,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
351,Bothrops alternatus,"60 to 100 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present but not clinically significant,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Mixture of procoagulants,,1
352,Bothrops ammodytoides,"Argentina : 20.4 \xc2\xb1 8 mg ( dry weight ) = 11.7 \xc2\xb1 4.47 mg venom / 100 g body weight, De Roodt et al (1988) ( Ref : R000870 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
353,Bothrocophias andianus,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
354,Bothrops asper,,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Present but not defined,Probably not present,Probably not present,,Fibrinogenases,,Not
355,Bothrops atrox,"70 to 160 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Possibly present,Probably not present,,Prothrombin convertors,,1
356,Bothrops barnetti,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
357,Bothrops brazili,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
358,Bothrops caribbaeus,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
359,Bothrops cotiara,"Female ( n=11 ) = 144 mg, Newborn = 17 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
360,Bothrops erythromelas,"Female ( n=14 ) = 40 mg, Newborn = 18 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
361,Bothrops fonsecai,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
362,Bothrops iglesiasi,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
363,Bothrops insularis,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
364,Bothrops itapetiningae,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
365,Bothrops jararaca,"40 to 70 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Present but not defined,Possibly present,Probably not present,,Fibrinogenases,,1
366,Bothrops jararacussu,"100 to 200 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Probably present,"Systemic myotoxins present, but principally cause local myonecrosis",Present but not defined,Possibly present,Probably not present,,Fibrinogen clotting toxins,,1
367,Bothrops lanceolatus,,Not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
368,Bothrops leucurus,"Bahia, Brazil : 182 mg ( dry weight ), Sanchez et al (1992) ( Ref : R000690 ).",Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
369,Bothrops lojanus,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
370,Bothrops marajoensis,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
371,Bothrocophias microphthalmus,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
372,Bothrocophias colombianus,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
373,Bothrops moojeni,"Female ( n=15 ) = 335 mg, Newborn = 63 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Possibly present,Probably not present,,Mixture of procoagulants,,1
374,Bothrops neuwiedi,"25 to 40 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
375,Bothrops pictus,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
376,Bothrops pirajai,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
377,Bothrops pradoi,,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
378,Bothrops pulchra,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,"Unknown, possibly Fibrinogenases",,Not
379,Bothrops roedingeri,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
380,Bothrops sanctaecrucis,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,Not
381,Bothrops venezuelensis,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
382,Bothrops xanthogrammus,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
383,Bothrops jonathani,,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
384,Crotalus adamanteus,"370 to 720 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Platelet aggregation inhibitor,Not present,Zinc metalloproteinase,Systemic myotoxins present,Secondary necrotoxic activity only,Secondary nephrotoxicity only,Not present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,"11.4 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",1
385,Crotalus atrox,"63 mg ( dry weight ) ( n=3, range 20 to 103 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
386,Crotalus basiliscus,"250 to 350 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",,Not present,Present but not defined,Possibly present,Secondary necrotoxic activity only,Secondary nephrotoxicity only,Possibly present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,,1
387,Crotalus catalinensis,"21 mg ( dry weight ) ( n=5, range 11 to 33 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
388,Crotalus cerastes,,,,,,,,,,,,Not
389,Crotalus totonacus,,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Other,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),,Not
390,Crotalus culminatus,,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Secondary myotoxicity present,Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Other,,Not
391,Crotalus tzabcan,,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),,Not
392,Crotalus simus,,Not present,Not present,Possibly present,Secondary myotoxic activity may be present,Not present,Not present,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Present but not defined,,Not
393,Crotalus durissus,"25 to 40 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Not present,Secondary myotoxicity present,Not present,Secondary nephrotoxicity only,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Fibrinogenases,,1
394,Crotalus horridus,,Not present,Not present,Zinc metalloproteinase,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,,Not
395,Crotalus enyo,"31 mg ( dry weight ) ( n=11, range 23 to 49 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
396,Crotalus intermedius,,,,,,,,,,,,Not
397,Crotalus lannomi,,,,,,,,,,,,Not
398,Crotalus lepidus,,,,,,,,,,,,Not
399,Crotalus mitchellii,,,,,,,,,,,,Not
400,Crotalus stephensi,,,,,,,,,,,,Not
401,Crotalus molossus,,,,,,,,,,,,Not
402,Crotalus pricei,,,,,,,,,,,,Not
403,Crotalus polystictus,,,,,,,,,,,,Not
404,Crotalus pusillus,"49 mg ( n=2 ), Minton and Weinstein (1984) ( Ref : R000494 ).",,,,,,,,,,,1
405,Crotalus ruber,,,,,,,,,,,,Not
406,Crotalus scutulatus,"50 to 90 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Present but not defined,Secondary myotoxic activity may be present,Not present,Not present,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Possibly present,,1
407,Crotalus stejnegeri,,,,,,,,,,,,Not
408,Crotalus tigris,"6.4 mg ( n=2 ), Minton and Weinstein (1984) ( Ref : R000494 ).",,,Not present,Systemic myotoxins present,Not present,,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Possibly present,,1
409,Crotalus transversus,,,,,,,,,,,,Not
410,Crotalus triseriatus,,,,,,,,,,,,Not
411,Crotalus aquilus,,,,,,,,,,,,Not
412,Crotalus oreganus,"19 mg ( dry weight ) ( n=1 ), Glenn and Straight (1985) ( Ref : R000503 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides Other,Mixture of procoagulants,,1
413,Crotalus cerberus,,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,Other,Mixture of procoagulants,,Not
414,Crotalus viridis,"50 to 100 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides Other,Mixture of procoagulants,,1
415,Crotalus willardi,,,,Present but not defined,,,,,,,,Not
416,Acanthophis antarcticus,"80 mg ( dry weight ), Garnet (1970), ( Ref : R000688 ).",Present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,"0.400 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
417,Acanthophis praelongus,"49.5 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
418,Acanthophis pyrrhus,,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
419,Austrelaps superbus,"25 mg ( dry weight ), Garnet (1970), ( Ref : R000688 ).",Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,"0.560 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
420,Austrelaps ramsayi,,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,,Not
421,Austrelaps labialis,,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,,Not
422,Demansia olivacea,,,,,,,,,,,,Not
423,Demansia papuensis,,,,,,,,,,,,Not
424,Demansia psammophis,,,,,,,,,,,,Not
425,Demansia simplex,,,,,,,,,,,,Not
426,Demansia torquata,,,,,,,,,,,,Not
427,Demansia vestigiata,,,,,,,,,,,,Not
428,Denisonia devisi,,Probably not present,,,,,,Present but not defined,,Probably not present,,Not
429,Denisonia maculata,,Probably not present,,,,,,Present but not defined,,Probably not present,,Not
430,Elapognathus coronata,,,,,,,,,,,,Not
431,Drysdalia mastersii,,,,,,,,,,,,Not
432,Drysdalia rhodogaster,,,,,,,,,,,,Not
433,Drysdalia coronoides,,,,,,,,,,,,Not
434,Paroplocephalus atriceps,,Possibly present,,,,,,Possibly present,,Probably not present,,Not
435,Echiopsis curta,,Possibly present,,,,,,Possibly present,,Probably not present,,Not
436,Hemiaspis damelii,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
437,Hemiaspis signata,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
438,Hoplocephalus bitorquatus,"1.66 mg ( dry weight  of milked venom ), single milking record, in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,,1
439,Hoplocephalus bungaroides,"12.0 mg ( dry weight of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,,1
440,Hoplocephalus stephensii,"4.0 mg ( dry weight  of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Possibly present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,"1.36 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 )",1
441,Notechis scutatus,"35 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.194 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 ).",1
442,Oxyuranus scutellatus,,Not present,Not present,Possibly present,Systemic myotoxins present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,,Not
443,Oxyuranus microlepidotus,"44 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Not present,Not present,Possibly present,Systemic myotoxins present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.025 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
444,Pseudechis australis,"180 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Direct coagulation inhibitor,Not present,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,"2.38 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
445,Pseudechis butleri,,Direct coagulation inhibitor,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,,Not
446,Pseudechis colletti,"48 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Direct coagulation inhibitor,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,"2.38 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
447,Pseudechis guttatus,"32 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Possibly present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Not present,"2.13 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
448,Pseudechis porphyriacus,"30 mg ( dry weight ), Freeman and Kellaway (1934) ( Ref : R000686 ).",Possibly present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Possibly present,"2.52 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 ).",1
449,Pseudechis papuanus,,Possibly present,Not present,Possibly present but not clinically significant,,Not present,Not present,Present but not defined,Not present or not significant,Present but not defined,"1.09 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
450,Pseudonaja affinis,,Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,,Not
451,Pseudonaja guttata,"0.5 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,,1
452,Pseudonaja inframacula,"3.0 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Not present,,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"Eyre Peninsula, SA : 0.25 mg / kg  sc ( mice,  ), Masci et al (1998) ( Ref : R000989 ).",1
453,Pseudonaja ingrami,,Not present,,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,,Not
454,Pseudonaja modesta,,Not present,Not present,Not present,,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Possibly present but not clinically significant,,Not
455,Pseudonaja nuchalis,"18 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.473 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
456,Pseudonaja textilis,"2 to 6 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.053 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
457,Cryptophis nigrescens,"8.0 mg ( dry weight  of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
458,Suta suta,,,,,,,,,,,,Not
459,Tropidechis carinatus,"6 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"1.36 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
460,Micropechis ikaheka,,Mixture of anticoagulant activities,Probably not present,Possibly present,Possibly present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
461,Acalyptophis peronii,"0.33 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
462,Aipysurus apraefrontalis,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
463,Aipysurus duboisii,"0.43 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
464,Aipysurus eydouxii,"0.48 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
465,Aipysurus foliosquama,"0.48 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
466,Aipysurus fuscus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
467,Aipysurus laevis,"10.45 mg ( dry weight ), Limpus (1978) ( Ref : R00076 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
468,Aipysurus tenuis,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
469,Astrotia stokesii,"31.30 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
470,Hydrophis kingii,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
471,Hydrophis major,"22.80 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
472,Hydrophis nigrocinctus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
473,Emydocephalus annulatus,"0.15 mg ( dry weight ), Minton  (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
474,Emydocephalus ijimae,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
475,Enhydrina schistosa,"7 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"0.164 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone P. and Chou L. M. (1990)  ( Ref : R000004 ).",1
476,Ephalophis greyae ( = greyi ),,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
477,Parahydrophis mertoni,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
478,Hydrelaps darwiniensis,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
479,Hydrophis belcheri,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
480,Hydrophis bituberculatus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
481,Hydrophis brookii,"1.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
482,Hydrophis caerulescens,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
483,Hydrophis cantoris,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
484,Hydrophis cyanocinctus,"8.20 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"1.24 mg / kg route unspecified, Heatwole (1999) ( Ref : R000523 ).",1
485,Hydrophis elegans,"8.91 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
486,Hydrophis fasciatus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
487,Hydrophis gracilis,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
