snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Furina tristis,,,,,,,Possibly present,,Possibly present,1
Simoselaps anomalus,,,,,,,,,,1
Brachyurophis approximans,,,,,,,,,,1
Brachyurophis australis,,,,,,,,,,1
Simoselaps bertholdi,,,,,,,,,,1
Neelaps bimaculatus,,,,,,,,,,1
Neelaps calonotus,,,,,,,,,,1
Brachyurophis fasciolatus,,,,,,,,,,1
Brachyurophis incinctus,,,,,,,,,,1
Simoselaps littoralis,,,,,,,,,,1
Simoselaps minimus,,,,,,,,,,1
Brachyurophis semifasciatus,,,,,,,,,,1
Antairoserpens warro,,,,,,,,,,1
Suta fasciata,,,,,,,,,,1
Parasuta flagellum,,,,,,,,,,1
Parasuta gouldii,,,,,,,,,,1
Parasuta monachus,,,,,,,,,,1
Parasuta nigriceps,,,,,,,,,,1
Suta ordensis,,,,,,,,,,1
Suta punctata,,,,,,,,,,1
Parasuta spectabilis,,,,,,,,,,1
Vermicella annulata,,,,,,,,,,1
Vermicella multifasciata,,,,,,,,,,1
Enhydrina zweifeli,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis lamberti,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Vermicella snelli,,,,,,,,,,1
Vermicella intermedia,,,,,,,,,,1
Vermicella vermiformis,,,,,,,,,,1
Demansia reticulata,,,,,,,,,,1
Cacophis churchilli,,,,,,,,,,1
Brachyurophis morrisi,,,,,,,,,,1
Micrurus albicinctus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus catamayensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus nebularis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Salomonelaps par,,,,,,,,,,1
Ogmodon vitianus,,,,,,,,,,1
Naja mandalayensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Acanthophis wellsei,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bitis armata,,,,,,,,,,1
Hydrophis sibauensis,Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Micrurus pachecogili,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Hydrophis laboutei,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Phalotris lemniscatus,,,,,,,,,,1
Philodryas aestivus,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas arnaldoi,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas baroni,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas chamissonis,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas cordata,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas hoodensis,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas inca,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas livida,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas mattogrossensis,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas nattereri,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas olfersii,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas oligolepis,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas patagoniensis,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas psammophideus,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas simonsii,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas trilineatus,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas varius,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Philodryas viridissimus,Not present,Not present,Possibly present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Oedema-forming activity,Not present,1
Sibynomorphus inaequifasciatus,Possibly present,,,,,,,,Probably present,1
Sibynomorphus lavillai,Possibly present,,,,,,,,Probably present,1
Sibynomorphus mikanii,Possibly present,,,,,,,,Probably present,1
Sibynomorphus neuwiedi,Possibly present,,,,,,,,Probably present,1
Sibynomorphus oligozonatus,Possibly present,,,,,,,,Probably present,1
Sibynomorphus oneilli,Possibly present,,,,,,,,Probably present,1
Sibynomorphus petersi,Possibly present,,,,,,,,Probably present,1
Sibynomorphus turgidus,Possibly present,,,,,,,,Probably present,1
Sibynomorphus vagrans,Possibly present,,,,,,,,Probably present,1
Sibynomorphus vagus,Possibly present,,,,,,,,Probably present,1
Sibynomorphus ventrimaculatus,Possibly present,,,,,,,,Probably present,1
Sibynomorphus williamsi,Possibly present,,,,,,,,Probably present,1
Hemibungarus hatori,,,,,,,,,,1
Micrurus pacaraimie,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus tricolor,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus baliocoryphus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus brasiliensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Naja nubiae,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,1
Micrurus tamaulipensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Crotalus tancitarensis,,,,,,,,,,1
Micrurus serranus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus oligoanellatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Leptomicrurus renjifoi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Naja sagittifera,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Elapsoidea trapei,,,,,,,,,,1
Laticauda frontalis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Presynaptic neurotoxins possibly present,Not present or not significant,Not present,1
Micrurus camilae,Probably not present,Probably not present,Probably not present,"Probably present, but not confirmed.",Probably not present,Probably not present,Pre- & Post-synaptic neurotoxins may be present,,Probably not present,1
Laticauda guineai,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Presynaptic neurotoxins possibly present,Not present or not significant,Not present,1
Laticauda saintgironsi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Presynaptic neurotoxins possibly present,Not present or not significant,Not present,1
Brachyurophis roperi,,,,,,,,,,1
Demansia calodera,,,,,,,,,,1
Demansia rufescens,,,,,,,,,,1
Aipysurus pooleorum,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Oxyuranus temporalis,Unknown. Most likely Not present,Unknown. Most likely Not present,Unknown. Most likely Possibly present,Unknown. Most likely Systemic myotoxins present,Unknown. Most likely Not present,Unknown. Most likely Possibly present,Unknown. Most likely Pre- & Post-synaptic neurotoxins,Unknown. Most likely Not present or not significant,Unknown. Most likely Prothrombin convertors,1
Micrurus silviae,Probably not present,Probably not present,Probably not present,"Probably present, but not confirmed.",Probably not present,Probably not present,Pre- & Post-synaptic neurotoxins may be present,,Probably not present,1
Bungarus slowinskii,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Acanthophis laevis,Present but not clinically significant,Not present,Not present,Present but possibly not clinically significant,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Acanthophis rugosus,Present but not clinically significant,Not present,Not present,Present but possibly not clinically significant,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Pseudonaja aspidorhyncha,Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,1
Pseudonaja mengdeni,Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,1
Demansia angusticeps,,,,,,,,,,1
Demansia quaesitor,,,,,,,,,,1
Demansia flagellatio,,,,,,,,,,1
Demansia rimicola,,,,,,,,,,1
Demansia shinei,,,,,,,,,,1
Acanthophis hawkei,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Naja ashei,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja senegalensis,Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Hydrophis donaldi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis hendersoni,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis pachycercos,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Walterinnesia morgani,Not present,Not present,Not present,Probably not present,Probably not present,Not present,Postsynaptic neurotoxins,,Not present,1
Atractaspis aterrima,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis battersbyi,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis boulengeri,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis coalescens,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis congica,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis corpulenta,Possibly present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis duerdeni,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis engaddensis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Possibly present,Not present,Possibly present,Not present,Not present,Not present or not significant,Possibly present,1
Atractaspis engdahli,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis fallax,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis irregularis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis leucomelas,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis micropholis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis reticulata,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Atractaspis scorteccii,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,1
Bitis rhinoceros,Possibly present (based on research on related species),Present but not defined (based on research on related species),Zinc metalloproteinase (based on research on related species),Not present (based on research on related species),Possibly present (based on research on related species),Not present (based on research on related species),Not present (based on research on related species),,Fibrinogenases (based on research on related species),1
Pseudechis butleri,Direct coagulation inhibitor,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,1
Pseudechis weigeli,"Unknown, but based on related species, likely to be present",Unknown but likely secondary cardiotoxicity only,"Unknown, but based on related species, not likely to be present","Unknown, but based on related species, likely to be present","Unknown, but based on related species, not likely to be present",Unknown but likely secondary nephrotoxicity only,"Unknown, but based on related species, not likely to be clinically significant, if present",Not present or not significant,"Unknown, but based on related species, not likely to be present",1
Pseudechis rossignolii,"Unknown, but based on related species, likely to be present",Unknown but likely secondary cardiotoxicity only,"Unknown, but based on related species, not likely to be present","Unknown, but based on related species, likely to be present","Unknown, but based on related species, not likely to be present",Unknown but likely secondary nephrotoxicity only,"Unknown, but based on related species, not likely to be clinically significant, if present",Not present or not significant,"Unknown, but based on related species, not likely to be present",1
Pseudechis pailsei,"Unknown, but based on related species, likely to be present",Unknown but likely secondary cardiotoxicity only,"Unknown, but based on related species, not likely to be present","Unknown, but based on related species, likely to be present","Unknown, but based on related species, not likely to be present",Unknown but likely secondary nephrotoxicity only,"Unknown, but based on related species, not likely to be clinically significant, if present",Not present or not significant,"Unknown, but based on related species, not likely to be present",1
Cerastes gasperettii,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Echis multisquamatus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis sochureki,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Montivipera albicornuta,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Montivipera raddei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Montivipera wagneri,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera berus,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Macrovipera lebetina,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,1
Vipera renardi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Hypnale hypnale,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,1
Hypnale nepa,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,1
Hypnale walli,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,1
Ovophis chaseni,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Ovophis monticola,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Trimeresurus borneensis,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,1
Trimeresurus brongersmai,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,1
Trimeresurus cantori,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,1
Protobothrops cornutus,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,1
Trimeresurus erythrurus,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably present,1
Trimeresurus fasciatus,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Probably present,1
Trimeresurus gramineus,Possibly present,Probably not present,Present but not defined,Present but possibly not clinically,Probably not present,Probably not present,Not present,,Mixture of procoagulants,1
Trimeresurus hageni,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Tropidolaemus huttoni,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Probably present,1
Protobothrops jerdonii,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,1
Trimeresurus kanburiensis,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,Possibly present,Probably not present,,Probably present,1
Protobothrops kaulbacki,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,1
Trimeresurus purpureomaculatus,Possibly present,Probably not present,"Present, clinical significance uncertain",,,,Probably not present,,Probably present,1
Trimeresurus strigatus,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,1
Trimeresurus sumatranus,Present but not defined,Probably not present,"Present, clinical significance uncertain",Probably not present,,,Probably not present,,Possibly present,1
Ovophis tonkinensis,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Protobothrops xiangchengensis,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,1
Trimeresurus septentrionalis,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,1
Trimeresurus insularis,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,1
Thelotornis kirtlandi,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Mixture of procoagulants,1
Atheris ceratophora,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris chloroechis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris desaixi,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Montatheris hindii,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris hispida,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris katangensis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris nitschei,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Atheris squamigera,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Proatheris superciliaris,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,1
Cerastes vipera,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Echis coloratus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis leucogaster,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis ocellatus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis pyramidum,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Montivipera bornmuelleri,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera latastei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Echis hughesi,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis jogeri,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis khosatskii,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Echis megalocephalus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,1
Vipera aspis,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Montivipera albizona,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera barani,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Montivipera bulgardaghica,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera darevskii,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera dinniki,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera eriwanensis,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera kaznakovi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera lotievi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera monticola,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Macrovipera mauritanica,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,1
Macrovipera schweizeri,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,1
Vipera pontica,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera ursinii,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Vipera seoanei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,1
Macrovipera deserti,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,1
Agkistrodon bilineatus,Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,1
Agkistrodon taylori,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,Probably not present,,Mixture of procoagulants,1
Agkistrodon contortrix,Probably not present,Probably not present,Possibly present,Present but possibly not clinically significant,Probably not present,Probably not present,Not present,,Possibly present,1
Agkistrodon piscivorus,Probably not present,Probably not present,Possibly present,Systemic myotoxins present,Probably not present,Probably not present,Not present,,Fibrinogenases,1
Lachesis melanocephala,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,1
Lachesis stenophrys,Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,1
Porthidium dunni,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Porthidium hespere,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Bothrocophias hyoprora,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,1
Porthidium lansbergii,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Porthidium nasutum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Porthidium ophryomegas,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Porthidium volcanicum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Porthidium yucatanicum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Atropoides nummifer,Probably not present,Probably not present,Possibly present but not clinically significant,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,1
Atropoides olmec,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Atropoides picadoi,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Cerrophidion barbouri,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
Cerrophidion godmani,Probably not present,Probably not present,Possibly present but not clinically significant,Present but possibly not clinically significant,Probably not present,Probably not present,Probably not present,,Possibly present,1
Cerrophidion tzotzilorum,Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,1
