snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
Astrotia stokesii,"31.30 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis major,"22.80 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Emydocephalus annulatus,"0.15 mg ( dry weight ), Minton  (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Enhydrina schistosa,"7 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"0.164 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone P. and Chou L. M. (1990)  ( Ref : R000004 ).",1
Hydrophis brookii,"1.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis cyanocinctus,"8.20 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"1.24 mg / kg route unspecified, Heatwole (1999) ( Ref : R000523 ).",1
Hydrophis elegans,"8.91 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis klossi,"1.00 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis ornatus,"8.3 mg ( dry weight ), Tamiya and Puffer (1974) ( Ref : R000012 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis spiralis,"2.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis jerdonii,"2.80 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Lapemis curtus,"3.80 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Lapemis hardwickii,"1.9 mg ( dry weight ), Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Pelamis platurus,"0.25 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Laticauda colubrina,"10.6 mg ( dry weight ), Singh and Guinea (1984) ( Ref : R000527 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Laticauda semifasciata,"14 mg ( dry weight ), Brown (1973) ( Ref : R000681 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis melanocephalus,"0.13 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis coggeri,"0.48 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Boiga irregularis,"6.7 mg ( n= 19, dry weight ), Weinstein et al (1991) ( Ref : R000660 ).",Not present,Not present,Not present,Not present,Not present,Not present,Possibly present,Not present,Not present,,1
Micrurus altirostris,"8 to 10 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus tener,"M. t. tener : 10 to 12 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
